STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/13/2006,0,,56,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/14/2006,0.03,,61,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/15/2006,0,,47,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/16/2006,0,,49,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/17/2006,0,,46,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/18/2006,0,,43,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/19/2006,0,,43,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/20/2006,0,,42,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/21/2006,0,,42,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/22/2006,0,,47,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/23/2006,0,,53,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/24/2006,0,,52,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/25/2006,0,,47,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/26/2006,0,,52,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/27/2006,0,,59,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/28/2006,0,,52,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/29/2006,0,,56,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/30/2006,0,,62,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/31/2006,0,,57,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/1/2006,0.01,,67,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/2/2006,0,,67,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/3/2006,0.24,,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/4/2006,0.02,,56,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/5/2006,0.36,,47,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/6/2006,0,,53,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/7/2006,0.03,,57,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/8/2006,0.66,,56,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/9/2006,0,,57,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/10/2006,0,,55,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/11/2006,0,,59,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/12/2006,0,,59,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/13/2006,0,,76,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/14/2006,0.2,,59,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/15/2006,0,,80,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/16/2006,0,,66,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/17/2006,0,,63,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/18/2006,0,,71,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/19/2006,0,,73,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/20/2006,0,,78,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/21/2006,0,,57,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/22/2006,0.83,,48,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/23/2006,2.13,,61,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/24/2006,0.2,,57,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/25/2006,0,,66,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/26/2006,0,,52,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/27/2006,0,,69,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/28/2006,0,,62,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/29/2006,0,,64,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/30/2006,0,,70,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/1/2006,0,,70,47
